,Pos,P+,Artist,Title,Wks,Pk,(x?),Streams,Streams+,Total
71,72,+21,ThxSoMch ,SPIT IN MY FACE!,9,72,(x1),10009994,1086439.0,74255148
72,73,+4,Grupo Frontera ,No Se Va,15,36,(x1),9956140,656710.0,163504445
73,74,-19,Bad Bunny ,Moscow Mule,36,2,(x2),9932416,-1040113.0,709726700
74,75,+17,Billie Eilish ,lovely,247,24,(x2),9864315,938461.0,2029742349
75,76,-5,Taylor Swift ,Lavender Haze,12,2,(x1),9842306,80899.0,235096891
76,77,-4,Rema ,Calm Down,27,73,(x1),9675280,81441.0,198063420
77,78,+35,NewJeans ,Hype Boy,15,78,(x1),9601175,1212577.0,112846674
78,79,+9,The Weeknd ,Call Out My Name,64,1,(x1),9500339,490761.0,602334730
79,80,-8,BLACKPINK ,Shut Down,17,1,(x1),9440820,-179299.0,258421359
80,81,+44,Cris Mj ,Marisola,3,81,(x1),9440695,1327558.0,25294066
81,82,+2,Eminem ,Without Me,81,31,(x1),9399089,291956.0,571574408
82,83,-18,KAROL G ,PROVENZA,38,6,(x1),9394755,-530754.0,637564557
83,84,-10,Harry Styles ,Late Night Talking,34,2,(x1),9308853,-143176.0,513344954
84,85,-7,Charlie Puth ,Left and Right (Feat. Jung Kook of BTS),29,7,(x1),9308339,76846.0,439726927
85,86,-3,Lil Nas X ,STAR WALKIN' (League of Legends Worlds Anthem),16,22,(x1),9252875,134213.0,177199443
86,87,-5,Kordhell ,Murder In My Mind,22,82,(x1),9238361,112497.0,187634790
87,88,+2,The Weeknd ,Save Your Tears,110,2,(x4),9212348,209927.0,1227315734
88,89,+7,Drake ,Jimmy Cooks,30,7,(x4),9192290,317406.0,388670233
89,90,-14,Quevedo ,Vista Al Mar,18,45,(x4),9167184,-237984.0,181745224
90,91,+54,Hotel Ugly ,Shut up My Moms Calling,8,91,(x4),9149116,1416792.0,57849610
91,92,+17,Rihanna ,Lift Me Up,11,11,(x4),9130914,634409.0,146965945
92,93,+49,Arijit Singh ,"Apna Bana Le (From ""Bhediya"")",2,93,(x4),9092187,1337718.0,16846656
93,94,+6,KAROL G ,CAIRO,8,75,(x4),9073164,444058.0,75697355
94,95,-1,Coldplay ,Yellow,108,56,(x4),8967914,72616.0,738476269
95,96,-11,Taylor Swift ,Midnight Rain,12,4,(x4),8919292,-108807.0,227233587
96,97,+13,Zach Bryan ,Something in the Orange,18,57,(x4),8849434,356816.0,154316427
97,98,+40,Lewis Capaldi ,Someone You Loved,209,4,(x4),8843090,1066231.0,2536275696
98,99,+81,RAYE ,Escapism.,2,99,(x4),8839955,1791351.0,15888559
99,100,+16,J. Cole ,No Role Modelz,160,64,(x4),8821050,509856.0,717337133
